year,Vessel Type,Country,CO2eq
2017,Cargo,Kiribati,135001
2017,Cargo,Marshall Islands,96811
2017,Cargo,Micronesia,1711588
2017,Cargo,Nauru,10653
2017,Cargo,Niue,17033
2017,Cargo,Palau,435341
2017,Cargo,Papua New Guinea,4251320
2017,Cargo,Samoa,21645
2017,Cargo,Solomon Islands,245441
2017,Cargo,Tokelau,16661
2017,Cargo,Tonga,29695
2017,Cargo,Tuvalu,22788
2017,Cargo,Vanuatu,45018
2017,Fishing,Cook Islands,12941
2017,Fishing,Fiji,16393
2017,Fishing,Kiribati,128459
2017,Fishing,Marshall Islands,58775
2017,Fishing,Micronesia,131847
2017,Fishing,Nauru,32638
2017,Fishing,Niue,727
2017,Fishing,Palau,13394
2017,Fishing,Papua New Guinea,147507
2017,Fishing,Samoa,2926
2017,Fishing,Solomon Islands,61049
2017,Fishing,Tokelau,7179
2017,Fishing,Tonga,2271
2017,Fishing,Tuvalu,28939
2017,Fishing,Vanuatu,19121
2017,Others,Cook Islands,27585
2017,Others,Fiji,71930
2017,Others,Kiribati,17522
2017,Others,Marshall Islands,16141
2017,Others,Micronesia,49570
2017,Others,Nauru,3896
2017,Others,Niue,6947
2017,Others,Palau,44297
2017,Others,Papua New Guinea,57224
2017,Others,Samoa,3147
2017,Others,Solomon Islands,15302
2017,Others,Tokelau,2662
2017,Others,Tonga,25515
2017,Others,Tuvalu,5365
2017,Others,Vanuatu,27906
2017,Passenger,Cook Islands,22827
2017,Passenger,Fiji,70292
2017,Passenger,Kiribati,23441
2017,Passenger,Marshall Islands,1758
2017,Passenger,Micronesia,5359
2017,Passenger,Nauru,5
2017,Passenger,Niue,2669
2017,Passenger,Palau,2205
2017,Passenger,Papua New Guinea,75139
2017,Passenger,Samoa,3018
2017,Passenger,Solomon Islands,11748
2017,Passenger,Tokelau,2531
2017,Passenger,Tonga,19280
2017,Passenger,Tuvalu,743
2017,Passenger,Vanuatu,67056
2017,Tanker,Cook Islands,9882
2017,Tanker,Fiji,24873
2017,Tanker,Kiribati,26691
2017,Tanker,Marshall Islands,26920
2017,Tanker,Micronesia,518349
2017,Tanker,Nauru,5459
2017,Tanker,Niue,3561
2017,Tanker,Palau,71013
2017,Tanker,Papua New Guinea,1173443
2017,Tanker,Samoa,1823
2017,Tanker,Solomon Islands,32753
2017,Tanker,Tokelau,238
2017,Tanker,Tonga,8510
2017,Tanker,Tuvalu,2849
2017,Tanker,Vanuatu,7209
2018,Cargo,Cook Islands,91231
2018,Cargo,Fiji,100099
2018,Cargo,Kiribati,156159
2018,Cargo,Marshall Islands,101977
2018,Cargo,Micronesia,1695918
2018,Cargo,Nauru,11421
2018,Cargo,Niue,15855
2018,Cargo,Palau,461598
2018,Cargo,Papua New Guinea,4295642
2018,Cargo,Samoa,19856
2018,Cargo,Solomon Islands,234676
2018,Cargo,Tokelau,10873
2018,Cargo,Tonga,29328
2018,Cargo,Tuvalu,25004
2018,Cargo,Vanuatu,39828
2018,Fishing,Cook Islands,12007
2018,Fishing,Fiji,15500
2018,Fishing,Kiribati,101221
2018,Fishing,Marshall Islands,60454
2018,Fishing,Micronesia,159686
2018,Fishing,Nauru,44290
2018,Fishing,Niue,1035
2018,Fishing,Palau,11708
2018,Fishing,Papua New Guinea,126245
2018,Fishing,Samoa,2166
2018,Fishing,Solomon Islands,46364
2018,Fishing,Tokelau,6108
2018,Fishing,Tonga,1832
2018,Fishing,Tuvalu,29045
2018,Fishing,Vanuatu,11459
2018,Others,Cook Islands,27969
2018,Others,Fiji,70645
2018,Others,Kiribati,16222
2018,Others,Marshall Islands,14315
2018,Others,Micronesia,56000
2018,Others,Nauru,2936
2018,Others,Niue,6273
2018,Others,Palau,42928
2018,Others,Papua New Guinea,71864
2018,Others,Samoa,6522
2018,Others,Solomon Islands,25746
2018,Others,Tokelau,2257
2018,Others,Tonga,21380
2018,Others,Tuvalu,5123
2018,Others,Vanuatu,22245
2018,Passenger,Cook Islands,19209
2018,Passenger,Fiji,64781
2018,Passenger,Kiribati,16234
2018,Passenger,Marshall Islands,247
2018,Passenger,Micronesia,3540
2018,Passenger,Nauru,8
2018,Passenger,Niue,2510
2018,Passenger,Palau,1283
2018,Passenger,Papua New Guinea,57201
2018,Passenger,Samoa,2645
2018,Passenger,Solomon Islands,4683
2018,Passenger,Tokelau,2914
2018,Passenger,Tonga,17258
2018,Passenger,Tuvalu,596
2018,Passenger,Vanuatu,53226
2018,Tanker,Cook Islands,13355
2018,Tanker,Fiji,24440
2018,Tanker,Kiribati,37305
2018,Tanker,Marshall Islands,26288
2018,Tanker,Micronesia,485440
2018,Tanker,Nauru,7334
2018,Tanker,Niue,4264
2018,Tanker,Palau,91019
2018,Tanker,Papua New Guinea,1140110
2018,Tanker,Samoa,1718
2018,Tanker,Solomon Islands,39604
2018,Tanker,Tokelau,686
2018,Tanker,Tonga,8008
2018,Tanker,Tuvalu,3094
2018,Tanker,Vanuatu,9044
2019,Cargo,Cook Islands,96468
2019,Cargo,Fiji,86716
2019,Cargo,Kiribati,177734
2019,Cargo,Marshall Islands,115530
2019,Cargo,Micronesia,1668720
2019,Cargo,Nauru,13957
2019,Cargo,Niue,12463
2019,Cargo,Palau,457498
2019,Cargo,Papua New Guinea,4403041
2019,Cargo,Samoa,16350
2019,Cargo,Solomon Islands,231962
2019,Cargo,Tokelau,8202
2019,Cargo,Tonga,29167
2019,Cargo,Tuvalu,26098
2019,Cargo,Vanuatu,43038
2019,Fishing,Cook Islands,17933
2019,Fishing,Fiji,12049
2019,Fishing,Kiribati,154126
2019,Fishing,Marshall Islands,48634
2019,Fishing,Micronesia,131895
2019,Fishing,Nauru,29057
2019,Fishing,Niue,936
2019,Fishing,Palau,7322
2019,Fishing,Papua New Guinea,131794
2019,Fishing,Samoa,2406
2019,Fishing,Solomon Islands,37894
2019,Fishing,Tokelau,5114
2019,Fishing,Tonga,3187
2019,Fishing,Tuvalu,35073
2019,Fishing,Vanuatu,11611
2019,Others,Cook Islands,26040
2019,Others,Fiji,38413
2019,Others,Kiribati,19142
2019,Others,Marshall Islands,8678
2019,Others,Micronesia,39800
2019,Others,Nauru,2954
2019,Others,Niue,5310
2019,Others,Palau,8537
2019,Others,Papua New Guinea,76110
2019,Others,Samoa,3148
2019,Others,Solomon Islands,15196
2019,Others,Tokelau,1562
2019,Others,Tonga,13804
2019,Others,Tuvalu,4381
2019,Others,Vanuatu,10064
2019,Passenger,Cook Islands,21879
2019,Passenger,Fiji,63014
2019,Passenger,Kiribati,25407
2019,Passenger,Marshall Islands,1468
2019,Passenger,Micronesia,5372
2019,Passenger,Nauru,60
2019,Passenger,Niue,3330
2019,Passenger,Palau,2201
2019,Passenger,Papua New Guinea,56132
2019,Passenger,Samoa,3377
2019,Passenger,Solomon Islands,3918
2019,Passenger,Tokelau,2142
2019,Passenger,Tonga,20110
2019,Passenger,Tuvalu,898
2019,Passenger,Vanuatu,43468
2019,Tanker,Cook Islands,14378
2019,Tanker,Fiji,22394
2019,Tanker,Kiribati,42486
2019,Tanker,Marshall Islands,26430
2019,Tanker,Micronesia,499649
2019,Tanker,Nauru,7452
2019,Tanker,Niue,3538
2019,Tanker,Palau,83653
2019,Tanker,Papua New Guinea,1223802
2019,Tanker,Samoa,1812
2019,Tanker,Solomon Islands,40031
2019,Tanker,Tokelau,901
2019,Tanker,Tonga,6994
2019,Tanker,Tuvalu,3468
2019,Tanker,Vanuatu,10005
2020,Cargo,Cook Islands,81997
2020,Cargo,Fiji,87971
2020,Cargo,Kiribati,173993
2020,Cargo,Marshall Islands,87798
2020,Cargo,Micronesia,1472604
2020,Cargo,Nauru,16564
2020,Cargo,Niue,13118
2020,Cargo,Palau,441513
2020,Cargo,Papua New Guinea,3818248
2020,Cargo,Samoa,19596
2020,Cargo,Solomon Islands,199551
2020,Cargo,Tokelau,11017
2020,Cargo,Tonga,23469
2020,Cargo,Tuvalu,25857
2020,Cargo,Vanuatu,36021
2020,Fishing,Cook Islands,18992
2020,Fishing,Fiji,11412
2020,Fishing,Kiribati,116513
2020,Fishing,Marshall Islands,37428
2020,Fishing,Micronesia,116677
2020,Fishing,Nauru,27850
2020,Fishing,Niue,1222
2020,Fishing,Palau,2862
2020,Fishing,Papua New Guinea,149562
2020,Fishing,Samoa,2557
2020,Fishing,Solomon Islands,37743
2020,Fishing,Tokelau,4575
2020,Fishing,Tonga,3195
2020,Fishing,Tuvalu,26844
2020,Fishing,Vanuatu,13251
2020,Others,Cook Islands,12235
2020,Others,Fiji,17981
2020,Others,Kiribati,10334
2020,Others,Marshall Islands,6703
2020,Others,Micronesia,27493
2020,Others,Nauru,9372
2020,Others,Niue,1647
2020,Others,Palau,4708
2020,Others,Papua New Guinea,38734
2020,Others,Samoa,2976
2020,Others,Solomon Islands,8079
2020,Others,Tokelau,2503
2020,Others,Tonga,2967
2020,Others,Tuvalu,3796
2020,Others,Vanuatu,3591
2020,Passenger,Cook Islands,8252
2020,Passenger,Fiji,38526
2020,Passenger,Kiribati,5839
2020,Passenger,Marshall Islands,619
2020,Passenger,Micronesia,2681
2020,Passenger,Nauru,159
2020,Passenger,Niue,1832
2020,Passenger,Palau,3700
2020,Passenger,Papua New Guinea,33145
2020,Passenger,Samoa,697
2020,Passenger,Solomon Islands,917
2020,Passenger,Tokelau,628
2020,Passenger,Tonga,6476
2020,Passenger,Tuvalu,371
2020,Passenger,Vanuatu,15509
2020,Tanker,Cook Islands,11161
2020,Tanker,Fiji,19842
2020,Tanker,Kiribati,38134
2020,Tanker,Marshall Islands,21406
2020,Tanker,Micronesia,474568
2020,Tanker,Nauru,8801
2020,Tanker,Niue,2543
2020,Tanker,Palau,93288
2020,Tanker,Papua New Guinea,1134544
2020,Tanker,Samoa,1219
2020,Tanker,Solomon Islands,32587
2020,Tanker,Tokelau,375
2020,Tanker,Tonga,6193
2020,Tanker,Tuvalu,3645
2020,Tanker,Vanuatu,8095
2021,Cargo,Cook Islands,77007
2021,Cargo,Fiji,99034
2021,Cargo,Kiribati,206716
2021,Cargo,Marshall Islands,106544
2021,Cargo,Micronesia,1593971
2021,Cargo,Nauru,18988
2021,Cargo,Niue,11674
2021,Cargo,Palau,469278
2021,Cargo,Papua New Guinea,4075144
2021,Cargo,Samoa,13510
2021,Cargo,Solomon Islands,217110
2021,Cargo,Tokelau,12875
2021,Cargo,Tonga,24787
2021,Cargo,Tuvalu,23329
2021,Cargo,Vanuatu,38439
2021,Fishing,Cook Islands,14008
2021,Fishing,Fiji,7729
2021,Fishing,Kiribati,83418
2021,Fishing,Marshall Islands,36023
2021,Fishing,Micronesia,85793
2021,Fishing,Nauru,24455
2021,Fishing,Niue,256
2021,Fishing,Palau,3034
2021,Fishing,Papua New Guinea,137979
2021,Fishing,Samoa,1715
2021,Fishing,Solomon Islands,26997
2021,Fishing,Tokelau,2849
2021,Fishing,Tonga,1926
2021,Fishing,Tuvalu,12265
2021,Fishing,Vanuatu,5490
2021,Others,Cook Islands,4275
2021,Others,Fiji,29951
2021,Others,Kiribati,11765
2021,Others,Marshall Islands,5484
2021,Others,Micronesia,20766
2021,Others,Nauru,12988
2021,Others,Niue,921
2021,Others,Palau,6728
2021,Others,Papua New Guinea,29202
2021,Others,Samoa,1374
2021,Others,Solomon Islands,8529
2021,Others,Tokelau,1036
2021,Others,Tonga,2221
2021,Others,Tuvalu,4770
2021,Others,Vanuatu,3001
2021,Passenger,Cook Islands,1728
2021,Passenger,Fiji,15261
2021,Passenger,Kiribati,262
2021,Passenger,Marshall Islands,784
2021,Passenger,Micronesia,2431
2021,Passenger,Nauru,223
2021,Passenger,Niue,299
2021,Passenger,Palau,627
2021,Passenger,Papua New Guinea,17131
2021,Passenger,Samoa,965
2021,Passenger,Solomon Islands,803
2021,Passenger,Tokelau,142
2021,Passenger,Tonga,1423
2021,Passenger,Tuvalu,260
2021,Passenger,Vanuatu,1301
2021,Tanker,Cook Islands,11685
2021,Tanker,Fiji,20616
2021,Tanker,Kiribati,33327
2021,Tanker,Marshall Islands,23202
2021,Tanker,Micronesia,468464
2021,Tanker,Nauru,17394
2021,Tanker,Niue,3179
2021,Tanker,Palau,85268
2021,Tanker,Papua New Guinea,1141136
2021,Tanker,Samoa,1421
2021,Tanker,Solomon Islands,26869
2021,Tanker,Tokelau,719
2021,Tanker,Tonga,6743
2021,Tanker,Tuvalu,3781
2021,Tanker,Vanuatu,8170
2022,Cargo,Cook Islands,97063
2022,Cargo,Fiji,91311
2022,Cargo,Kiribati,212578
2022,Cargo,Marshall Islands,104843
2022,Cargo,Micronesia,1480155
2022,Cargo,Nauru,17435
2022,Cargo,Niue,14937
2022,Cargo,Palau,410797
2022,Cargo,Papua New Guinea,3726691
2022,Cargo,Samoa,9635
2022,Cargo,Solomon Islands,199590
2022,Cargo,Tokelau,13982
2022,Cargo,Tonga,30413
2022,Cargo,Tuvalu,24597
2022,Cargo,Vanuatu,35741
2022,Fishing,Cook Islands,17255
2022,Fishing,Fiji,11712
2022,Fishing,Kiribati,69214
2022,Fishing,Marshall Islands,36783
2022,Fishing,Micronesia,72712
2022,Fishing,Nauru,12162
2022,Fishing,Niue,333
2022,Fishing,Palau,4609
2022,Fishing,Papua New Guinea,115935
2022,Fishing,Samoa,2334
2022,Fishing,Solomon Islands,33720
2022,Fishing,Tokelau,3977
2022,Fishing,Tonga,2203
2022,Fishing,Tuvalu,8948
2022,Fishing,Vanuatu,12359
2022,Others,Cook Islands,106183
2022,Others,Fiji,132838
2022,Others,Kiribati,38248
2022,Others,Marshall Islands,8238
2022,Others,Micronesia,21837
2022,Others,Nauru,5062
2022,Others,Niue,6796
2022,Others,Palau,4807
2022,Others,Papua New Guinea,51931
2022,Others,Samoa,4544
2022,Others,Solomon Islands,23124
2022,Others,Tokelau,5356
2022,Others,Tonga,16414
2022,Others,Tuvalu,7476
2022,Others,Vanuatu,61955
2022,Passenger,Cook Islands,9380
2022,Passenger,Fiji,28749
2022,Passenger,Kiribati,14576
2022,Passenger,Marshall Islands,127
2022,Passenger,Micronesia,405
2022,Passenger,Nauru,89
2022,Passenger,Niue,2320
2022,Passenger,Palau,122
2022,Passenger,Papua New Guinea,28808
2022,Passenger,Samoa,2410
2022,Passenger,Solomon Islands,1828
2022,Passenger,Tokelau,1363
2022,Passenger,Tonga,4816
2022,Passenger,Tuvalu,350
2022,Passenger,Vanuatu,8261
2022,Tanker,Cook Islands,13565
2022,Tanker,Fiji,22800
2022,Tanker,Kiribati,34979
2022,Tanker,Marshall Islands,18648
2022,Tanker,Micronesia,507224
2022,Tanker,Nauru,9189
2022,Tanker,Niue,3838
2022,Tanker,Palau,90187
2022,Tanker,Papua New Guinea,1206394
2022,Tanker,Samoa,1309
2022,Tanker,Solomon Islands,33945
2022,Tanker,Tokelau,1203
2022,Tanker,Tonga,8138
2022,Tanker,Tuvalu,4759
2022,Tanker,Vanuatu,8810
2023,Cargo,Cook Islands,89440
2023,Cargo,Fiji,102133
2023,Cargo,Kiribati,198489
2023,Cargo,Marshall Islands,97722
2023,Cargo,Micronesia,1378589
2023,Cargo,Nauru,13556
2023,Cargo,Niue,14392
2023,Cargo,Palau,407871
2023,Cargo,Papua New Guinea,3646050
2023,Cargo,Samoa,9810
2023,Cargo,Solomon Islands,189607
2023,Cargo,Tokelau,9779
2023,Cargo,Tonga,36548
2023,Cargo,Tuvalu,21572
2023,Cargo,Vanuatu,46396
2023,Fishing,Cook Islands,21969
2023,Fishing,Fiji,11118
2023,Fishing,Kiribati,92773
2023,Fishing,Marshall Islands,40540
2023,Fishing,Micronesia,62715
2023,Fishing,Nauru,9967
2023,Fishing,Niue,302
2023,Fishing,Palau,2548
2023,Fishing,Papua New Guinea,81438
2023,Fishing,Samoa,1995
2023,Fishing,Solomon Islands,35141
2023,Fishing,Tokelau,2213
2023,Fishing,Tonga,2935
2023,Fishing,Tuvalu,10272
2023,Fishing,Vanuatu,8704
2023,Others,Cook Islands,135234
2023,Others,Fiji,155218
2023,Others,Kiribati,79978
2023,Others,Marshall Islands,12847
2023,Others,Micronesia,36882
2023,Others,Nauru,1708
2023,Others,Niue,10547
2023,Others,Palau,4390
2023,Others,Papua New Guinea,73860
2023,Others,Samoa,7024
2023,Others,Solomon Islands,47452
2023,Others,Tokelau,3561
2023,Others,Tonga,34797
2023,Others,Tuvalu,9842
2023,Others,Vanuatu,77599
2023,Passenger,Cook Islands,22203
2023,Passenger,Fiji,61885
2023,Passenger,Kiribati,34644
2023,Passenger,Marshall Islands,2037
2023,Passenger,Micronesia,4521
2023,Passenger,Nauru,11
2023,Passenger,Niue,3680
2023,Passenger,Palau,1699
2023,Passenger,Papua New Guinea,43269
2023,Passenger,Samoa,4158
2023,Passenger,Solomon Islands,4313
2023,Passenger,Tokelau,2106
2023,Passenger,Tonga,23658
2023,Passenger,Tuvalu,1315
2023,Passenger,Vanuatu,37926
2023,Tanker,Cook Islands,11444
2023,Tanker,Fiji,20064
2023,Tanker,Kiribati,39574
2023,Tanker,Marshall Islands,17078
2023,Tanker,Micronesia,484400
2023,Tanker,Nauru,7522
2023,Tanker,Niue,2579
2023,Tanker,Palau,115856
2023,Tanker,Papua New Guinea,1217811
2023,Tanker,Samoa,1457
2023,Tanker,Solomon Islands,37943
2023,Tanker,Tokelau,1140
2023,Tanker,Tonga,6433
2023,Tanker,Tuvalu,4647
2023,Tanker,Vanuatu,9672
2024,Cargo,Cook Islands,88089
2024,Cargo,Fiji,106537
2024,Cargo,Kiribati,206461
2024,Cargo,Marshall Islands,108836
2024,Cargo,Micronesia,1403766
2024,Cargo,Nauru,10919
2024,Cargo,Niue,14642
2024,Cargo,Palau,409347
2024,Cargo,Papua New Guinea,3613234
2024,Cargo,Samoa,11117
2024,Cargo,Solomon Islands,180389
2024,Cargo,Tokelau,7068
2024,Cargo,Tonga,38748
2024,Cargo,Tuvalu,22586
2024,Cargo,Vanuatu,52198
2024,Fishing,Cook Islands,18852
2024,Fishing,Fiji,12826
2024,Fishing,Kiribati,71527
2024,Fishing,Marshall Islands,32827
2024,Fishing,Micronesia,73891
2024,Fishing,Nauru,7116
2024,Fishing,Niue,202
2024,Fishing,Palau,3329
2024,Fishing,Papua New Guinea,95461
2024,Fishing,Samoa,1201
2024,Fishing,Solomon Islands,33703
2024,Fishing,Tokelau,1489
2024,Fishing,Tonga,2638
2024,Fishing,Tuvalu,15342
2024,Fishing,Vanuatu,10206
2024,Others,Cook Islands,94120
2024,Others,Fiji,196088
2024,Others,Kiribati,124966
2024,Others,Marshall Islands,13879
2024,Others,Micronesia,35724
2024,Others,Nauru,1993
2024,Others,Niue,12121
2024,Others,Palau,7496
2024,Others,Papua New Guinea,90568
2024,Others,Samoa,3484
2024,Others,Solomon Islands,55527
2024,Others,Tokelau,2535
2024,Others,Tonga,35432
2024,Others,Tuvalu,23209
2024,Others,Vanuatu,79320
2024,Passenger,Cook Islands,25445
2024,Passenger,Fiji,66798
2024,Passenger,Kiribati,29506
2024,Passenger,Marshall Islands,3580
2024,Passenger,Micronesia,7173
2024,Passenger,Nauru,10
2024,Passenger,Niue,4035
2024,Passenger,Palau,2135
2024,Passenger,Papua New Guinea,46899
2024,Passenger,Samoa,6606
2024,Passenger,Solomon Islands,4562
2024,Passenger,Tokelau,3687
2024,Passenger,Tonga,19135
2024,Passenger,Tuvalu,556
2024,Passenger,Vanuatu,46784
2024,Tanker,Cook Islands,11931
2024,Tanker,Fiji,21119
2024,Tanker,Kiribati,28829
2024,Tanker,Marshall Islands,19914
2024,Tanker,Micronesia,486845
2024,Tanker,Nauru,6135
2024,Tanker,Niue,2023
2024,Tanker,Palau,109380
2024,Tanker,Papua New Guinea,1239825
2024,Tanker,Samoa,1691
2024,Tanker,Solomon Islands,40867
2024,Tanker,Tokelau,1070
2024,Tanker,Tonga,6129
2024,Tanker,Tuvalu,4939
2024,Tanker,Vanuatu,10251